INFO_TIME,PROD,BUY_ORDER,BUY_QTY,SELL_ORDER,SELL_QTY
8300426,TXFI7,71,120,48,71
8300926,TXFI7,114,216,72,121
8301426,TXFI7,133,378,88,152
8301926,TXFI7,152,414,98,164
8302426,TXFI7,167,438,105,183
8302926,TXFI7,183,478,109,199
8303426,TXFI7,217,558,124,225
8303926,TXFI7,253,632,150,254
8304426,TXFI7,348,996,184,315
8304926,TXFI7,355,1044,189,320
8305426,TXFI7,362,1105,194,330
8305926,TXFI7,371,1098,202,341
8310426,TXFI7,405,1214,221,403
8310926,TXFI7,452,1511,248,572
8311426,TXFI7,493,1681,282,797
8311926,TXFI7,511,1700,288,808
8312426,TXFI7,520,1722,296,828
8312926,TXFI7,553,1796,303,837
8313426,TXFI7,568,1812,306,840
8313926,TXFI7,573,1817,305,838
8314426,TXFI7,584,1862,310,846
8314926,TXFI7,586,1865,309,844
8315426,TXFI7,601,1894,314,849
8315926,TXFI7,610,1894,315,851
8320426,TXFI7,602,1911,324,885
8320926,TXFI7,618,1939,324,885
8321426,TXFI7,625,1947,327,898
8321926,TXFI7,639,1971,330,902
8322426,TXFI7,646,1994,331,903
8322926,TXFI7,656,2012,337,914
8323426,TXFI7,667,2030,337,910
8323926,TXFI7,677,2049,345,932
8324426,TXFI7,687,2060,349,938
8324926,TXFI7,692,2064,354,943
8325426,TXFI7,694,2066,357,949
8325926,TXFI7,704,2085,364,958
8330426,TXFI7,706,2115,371,966
8330926,TXFI7,715,2136,375,979
8331426,TXFI7,717,2138,381,1003
8331926,TXFI7,726,2166,386,1016
8332426,TXFI7,736,2200,390,1022
8332926,TXFI7,743,2209,393,1029
8333426,TXFI7,782,2249,395,1031
8333926,TXFI7,786,2256,400,1043
8334426,TXFI7,793,2267,425,1076
8334926,TXFI7,799,2275,446,1102
8335426,TXFI7,804,2280,453,1123
8335926,TXFI7,809,2292,457,1139
8340426,TXFI7,814,2311,470,1169
8340926,TXFI7,817,2315,475,1180
8341426,TXFI7,821,2322,480,1190
8341926,TXFI7,831,2353,494,1220
8342426,TXFI7,835,2359,502,1236
8342926,TXFI7,842,2389,510,1253
8343426,TXFI7,852,2464,515,1262
8343926,TXFI7,855,2472,523,1299
8344426,TXFI7,862,2491,528,1357
8344926,TXFI7,863,2493,535,1372
8345426,TXFI7,874,2513,542,1438
8345926,TXFI7,876,2515,543,1439
8350426,TXFI7,878,2517,555,1451
8350926,TXFI7,886,2530,576,1474
8351426,TXFI7,888,2545,585,1483
8351926,TXFI7,895,2606,587,1493
8352426,TXFI7,901,2662,595,1489
8352926,TXFI7,904,2666,598,1505
8353426,TXFI7,908,2654,599,1506
8353926,TXFI7,911,2654,604,1512
8354426,TXFI7,915,2658,605,1518
8354926,TXFI7,924,2667,610,1519
8355426,TXFI7,930,2674,616,1537
8355926,TXFI7,938,2685,617,1538
8360426,TXFI7,941,2679,619,1559
8360926,TXFI7,959,2730,626,1567
8361426,TXFI7,968,2752,632,1575
8361926,TXFI7,970,2755,636,1582
8362426,TXFI7,978,2769,641,1587
8362926,TXFI7,979,2774,645,1603
8363426,TXFI7,986,2785,652,1610
8363926,TXFI7,989,2791,654,1611
8364426,TXFI7,993,2795,658,1619
8364926,TXFI7,999,2828,662,1627
8365426,TXFI7,1004,2842,660,1627
8365926,TXFI7,1006,2851,657,1624
8370426,TXFI7,1013,2861,665,1636
8370926,TXFI7,1021,2891,666,1639
8371426,TXFI7,1031,2907,656,1626
8371926,TXFI7,1044,2921,658,1628
8372426,TXFI7,1052,2935,657,1626
8372926,TXFI7,1057,2935,669,1691
8373426,TXFI7,1062,2943,677,1699
8373926,TXFI7,1072,2963,685,1753
8374426,TXFI7,1083,2994,697,1768
8374926,TXFI7,1090,3001,710,1788
8375426,TXFI7,1100,3016,710,1788
8375926,TXFI7,1105,3025,713,1791
8380426,TXFI7,1110,3032,719,1809
8380926,TXFI7,1114,3053,723,1818
8381426,TXFI7,1122,3065,721,1813
8381926,TXFI7,1128,3073,722,1824
8382426,TXFI7,1138,3083,741,1862
8382926,TXFI7,1145,3096,747,1876
8383426,TXFI7,1150,3105,753,1886
8383926,TXFI7,1157,3103,757,1891
8384426,TXFI7,1163,3118,765,1914
8384926,TXFI7,1172,3128,777,1947
8385426,TXFI7,1176,3136,784,1960
8385926,TXFI7,1185,3147,792,1997
8390426,TXFI7,1191,3153,809,2015
8390926,TXFI7,1192,3157,820,2026
8391426,TXFI7,1192,3157,824,2032
8391926,TXFI7,1196,3162,827,2036
8392426,TXFI7,1200,3166,832,2044
8392926,TXFI7,1206,3172,838,2072
8393426,TXFI7,1215,3186,843,2087
8393926,TXFI7,1223,3198,848,2093
8394426,TXFI7,1226,3208,855,2102
8394926,TXFI7,1232,3215,856,2107
8395426,TXFI7,1235,3223,858,2103
8395926,TXFI7,1242,3240,860,2116
8400426,TXFI7,1281,3282,867,2124
8400926,TXFI7,1326,3332,870,2127
8401426,TXFI7,1332,3342,873,2139
8401926,TXFI7,1340,3352,889,2170
8402426,TXFI7,1340,3352,900,2190
8402926,TXFI7,1343,3367,902,2192
8403426,TXFI7,1350,3379,910,2206
8403926,TXFI7,1350,3379,917,2215
8404426,TXFI7,1360,3425,922,2221
8404926,TXFI7,1365,3435,928,2230
8405426,TXFI7,1372,3450,929,2229
