INFO_TIME,PROD,BUY_ORDER,BUY_QTY,SELL_ORDER,SELL_QTY
8300485,TXFI7,64,278,61,127
8300985,TXFI7,77,314,69,147
8301485,TXFI7,92,343,86,187
8301985,TXFI7,118,402,105,221
8302485,TXFI7,122,413,109,227
8302985,TXFI7,128,433,116,234
8303485,TXFI7,139,458,124,274
8303985,TXFI7,147,476,127,286
8304485,TXFI7,199,570,165,346
8304985,TXFI7,203,570,177,359
8305485,TXFI7,208,575,187,370
8305985,TXFI7,213,593,191,375
8310485,TXFI7,230,613,203,391
8310985,TXFI7,256,669,231,431
8311485,TXFI7,277,703,246,491
8311985,TXFI7,297,831,270,560
8312485,TXFI7,306,862,274,565
8312985,TXFI7,317,898,278,572
8313485,TXFI7,321,894,279,573
8313985,TXFI7,322,895,283,635
8314485,TXFI7,324,901,285,637
8314985,TXFI7,330,911,289,693
8315485,TXFI7,333,911,293,693
8315985,TXFI7,336,914,295,696
8320485,TXFI7,355,960,300,715
8320985,TXFI7,350,1014,305,727
8321485,TXFI7,354,1014,311,885
8321985,TXFI7,360,1080,316,879
8322485,TXFI7,362,1081,316,878
8322985,TXFI7,363,1082,323,892
8323485,TXFI7,364,1083,327,897
8323985,TXFI7,366,1086,332,903
8324485,TXFI7,368,1090,334,905
8324985,TXFI7,371,1094,337,910
8325485,TXFI7,374,1099,338,911
8325985,TXFI7,378,1103,343,922
8330485,TXFI7,381,1106,344,923
8330985,TXFI7,381,1146,344,923
8331485,TXFI7,388,1158,346,930
8331985,TXFI7,390,1201,349,929
8332485,TXFI7,390,1220,350,930
8332985,TXFI7,393,1228,350,930
8333485,TXFI7,396,1231,353,936
8333985,TXFI7,400,1232,355,938
8334485,TXFI7,403,1239,391,985
8334985,TXFI7,402,1238,391,985
8335485,TXFI7,405,1241,412,1006
8335985,TXFI7,407,1243,413,1007
8340485,TXFI7,441,1522,415,1010
8340985,TXFI7,446,1530,416,1012
8341485,TXFI7,466,1552,417,1013
8341985,TXFI7,471,1563,418,1015
8342485,TXFI7,472,1564,417,1014
8342985,TXFI7,476,1570,417,1014
8343485,TXFI7,479,1573,420,1015
8343985,TXFI7,482,1578,422,1015
8344485,TXFI7,483,1579,427,1024
8344985,TXFI7,487,1581,437,1037
8345485,TXFI7,491,1597,442,1063
8345985,TXFI7,491,1597,447,1079
8350485,TXFI7,494,1601,464,1111
8350985,TXFI7,501,1629,476,1160
8351485,TXFI7,503,1632,490,1188
8351985,TXFI7,514,1681,489,1170
8352485,TXFI7,524,1713,497,1246
8352985,TXFI7,533,1746,501,1259
8353485,TXFI7,544,1764,508,1267
8353985,TXFI7,550,1780,512,1286
8354485,TXFI7,554,1785,522,1303
8354985,TXFI7,553,1784,531,1327
8355485,TXFI7,556,1795,536,1352
8355985,TXFI7,558,1790,539,1385
8360485,TXFI7,561,1793,543,1362
8360985,TXFI7,565,1807,546,1368
8361485,TXFI7,568,1844,552,1375
8361985,TXFI7,571,1847,553,1376
8362485,TXFI7,577,1861,556,1379
8362985,TXFI7,579,1858,560,1383
