INFO_TIME,PROD,BUY_ORDER,BUY_QTY,SELL_ORDER,SELL_QTY
8300552,TXFI7,36,86,72,134
8301052,TXFI7,45,103,84,168
8301552,TXFI7,65,167,116,232
8302052,TXFI7,68,176,130,243
8302552,TXFI7,74,210,141,267
8303052,TXFI7,81,230,149,274
8303552,TXFI7,116,307,160,299
8304052,TXFI7,129,419,170,320
8304552,TXFI7,161,505,203,389
8305052,TXFI7,169,518,208,395
8305552,TXFI7,167,512,209,397
8310052,TXFI7,171,617,213,404
8310552,TXFI7,182,638,219,440
8311052,TXFI7,217,782,251,526
8311552,TXFI7,235,806,267,547
8312052,TXFI7,263,1001,292,693
8312552,TXFI7,277,1031,302,718
8313052,TXFI7,285,1149,302,718
8313552,TXFI7,294,1257,304,720
8314052,TXFI7,302,1481,306,722
8314552,TXFI7,302,1574,309,729
8315052,TXFI7,303,1575,310,738
8315552,TXFI7,308,1679,311,739
8320052,TXFI7,314,1686,314,742
8320552,TXFI7,320,1792,318,751
8321052,TXFI7,324,2094,321,754
8321552,TXFI7,327,2098,324,757
8323552,TXFI7,344,2520,334,777
8324052,TXFI7,348,2623,335,778
8324552,TXFI7,348,2628,338,787
8325052,TXFI7,352,2773,338,787
8325552,TXFI7,356,2877,338,788
8330052,TXFI7,355,2876,342,793
8330552,TXFI7,355,2885,346,800
8331052,TXFI7,358,3036,349,806
8331552,TXFI7,357,2894,351,808
8332052,TXFI7,361,2997,354,820
8332552,TXFI7,366,3054,358,826
8333052,TXFI7,366,3054,360,834
8333552,TXFI7,368,3056,368,882
8334052,TXFI7,369,2959,363,881
8334552,TXFI7,369,2762,368,882
8335052,TXFI7,369,2663,366,881
8335552,TXFI7,371,2470,365,880
8340052,TXFI7,370,2271,368,916
8340552,TXFI7,370,2271,368,917
8341052,TXFI7,372,2180,369,918
8341552,TXFI7,377,2086,370,896
8342052,TXFI7,381,1907,373,900
8342552,TXFI7,378,1707,374,901
8343052,TXFI7,381,1523,374,901
8343552,TXFI7,383,1501,377,904
8344052,TXFI7,396,1494,380,913
8344552,TXFI7,404,1521,383,926
8345052,TXFI7,410,1533,388,935
8345552,TXFI7,400,1519,390,937
8350052,TXFI7,403,1514,409,956
8350552,TXFI7,405,1517,438,990
8351052,TXFI7,412,1527,467,1019
8351552,TXFI7,410,1564,488,1040
8352052,TXFI7,411,1572,501,1053
8352552,TXFI7,417,1591,525,1078
8353052,TXFI7,420,1599,544,1099
8353552,TXFI7,422,1604,549,1104
8354052,TXFI7,426,1609,550,1105
8354552,TXFI7,429,1620,557,1115
8355052,TXFI7,435,1676,564,1133
8355552,TXFI7,440,1689,586,1170
8360052,TXFI7,444,1700,598,1320
8360552,TXFI7,447,1705,601,1323
8361052,TXFI7,457,1721,607,1329
8361552,TXFI7,458,1733,610,1332
8362052,TXFI7,462,1752,608,1339
8362552,TXFI7,465,1755,614,1347
8363052,TXFI7,466,1757,613,1346
8363552,TXFI7,475,1794,617,1352
8364052,TXFI7,486,1815,611,1346
8364552,TXFI7,502,1861,602,1339
8365052,TXFI7,510,1881,604,1353
