INFO_TIME,PROD,BUY_ORDER,BUY_QTY,SELL_ORDER,SELL_QTY
8300573,TXFI7,48,98,69,116
8301073,TXFI7,59,126,82,166
8301573,TXFI7,71,151,93,177
8302073,TXFI7,83,178,100,185
8302573,TXFI7,93,206,102,187
8303073,TXFI7,98,214,109,200
8303573,TXFI7,101,214,113,205
8304073,TXFI7,125,280,125,216
8304573,TXFI7,208,447,173,327
8305073,TXFI7,209,451,179,346
8305573,TXFI7,212,479,184,355
8310073,TXFI7,215,496,189,368
8310573,TXFI7,246,565,216,410
8311073,TXFI7,300,833,264,491
8311573,TXFI7,327,873,282,518
8312073,TXFI7,336,890,300,548
8312573,TXFI7,340,914,310,563
8313073,TXFI7,343,917,314,567
8313573,TXFI7,346,1028,319,574
8314073,TXFI7,350,1131,320,575
8314573,TXFI7,354,1194,320,575
8315073,TXFI7,360,1204,324,591
8315573,TXFI7,365,1209,326,603
8320073,TXFI7,372,1228,330,607
8320573,TXFI7,378,1243,330,607
8321073,TXFI7,380,1255,334,611
8321573,TXFI7,383,1259,334,611
8322073,TXFI7,386,1262,342,651
8322573,TXFI7,391,1274,343,647
8323073,TXFI7,395,1278,347,654
8323573,TXFI7,396,1279,350,658
8324073,TXFI7,412,1298,354,665
8324573,TXFI7,419,1309,356,673
8325073,TXFI7,419,1312,355,671
8325573,TXFI7,420,1310,362,683
8330073,TXFI7,424,1315,365,688
8330573,TXFI7,426,1317,370,698
8331073,TXFI7,430,1332,372,701
8331573,TXFI7,432,1336,377,706
8332073,TXFI7,434,1343,384,713
8332573,TXFI7,436,1345,388,718
8333073,TXFI7,437,1341,392,735
8333573,TXFI7,438,1342,394,738
8334073,TXFI7,440,1344,396,740
8334573,TXFI7,441,1345,401,745
8335073,TXFI7,443,1350,400,744
8335573,TXFI7,445,1357,400,749
8340073,TXFI7,452,1383,407,758
8340573,TXFI7,453,1380,412,765
8341073,TXFI7,455,1382,431,763
8341573,TXFI7,459,1386,445,779
8342073,TXFI7,461,1395,460,798
8342573,TXFI7,465,1400,479,819
8343073,TXFI7,464,1399,497,837
8343573,TXFI7,469,1408,517,865
8344073,TXFI7,479,1422,537,894
8344573,TXFI7,486,1444,546,903
8345073,TXFI7,488,1446,561,928
8345573,TXFI7,490,1450,581,981
8350073,TXFI7,490,1450,585,985
8350573,TXFI7,512,1494,586,987
8351073,TXFI7,535,1557,595,997
8351573,TXFI7,575,1611,601,1005
8352073,TXFI7,577,1613,607,1045
8352573,TXFI7,588,1636,612,1062
8353073,TXFI7,596,1647,650,1101
8353573,TXFI7,590,1643,655,1107
8354073,TXFI7,591,1648,671,1123
8354573,TXFI7,598,1655,676,1129
8355073,TXFI7,603,1665,678,1179
8355573,TXFI7,602,1665,682,1192
8360073,TXFI7,608,1671,685,1244
8360573,TXFI7,611,1674,688,1247
8361073,TXFI7,609,1680,690,1249
8361573,TXFI7,615,1695,694,1258
8362073,TXFI7,620,1754,696,1260
8362573,TXFI7,625,1764,699,1265
8363073,TXFI7,632,1871,704,1273
8363573,TXFI7,637,1866,709,1280
8364073,TXFI7,647,1904,714,1287
8364573,TXFI7,650,1916,718,1291
8365073,TXFI7,655,1925,718,1291
8365573,TXFI7,661,1951,722,1296
8370073,TXFI7,664,1959,725,1304
8370573,TXFI7,667,1962,726,1305
8371073,TXFI7,675,1988,733,1322
